variable_name,Turo,Mquest,is_var_att_global,attached_var,Dimensions,is_cf_compliant (1=yes 0=no)),variable optional/required (1=required 0=optional),variable_type,fillValue,att_coordinates,att_standard_name,att_long_name,att_calendar,att_units,att_axis,att_valid_min,att_valid_max,att_reference_datum,att_positive,att_ancillary_variables,att_quality_control_conventions,att_flag_values,att_flag_meanings,att_cf_role
RECORDER_TYPE,InterfaceCode,RCT$;SYST,att,RECORDER,,0,1,str,          ,,,recorder_type,,,, ,        ,WMO code table 4770,,,,,,
RECORDER_TYPE_name,,,att,RECORDER,,0,1,str,          ,,,recorder_type_name,,,, ,        ,WMO code table 4770,,,,,,
RECORDER_serial_number,HardwareSerialNo,SER1,att,RECORDER,,0,1,str,          ,,,recorder_serial_number,,,, ,        ,,,,,,,
RECORDER_software_version,ReleaseVersion,VERS,att,RECORDER,,0,1,str,          ,,,recorder_software_version,,,, ,        ,,,,,,,
RECORDER_firmware_version,FirmwareVersion,FVRS,att,RECORDER,,0,0,str,,,,recorder_firmware_version,,,,,,,,,,,,
RECORDER_hardware_version,HardwareVersion,HVRS,att,RECORDER,,0,0,str,,,,recorder_hardware_version,,,,,,,,,,,,
RECORDER_GUI_version,UIVersion,UVRS,att,RECORDER,,0,0,str,,,,recorder_GUI_version,,,,,,,,,,,,
RECORDER_system_wait_time,,WAIT,att,RECORDER,,0,0,float32,-999999,,,time_seconds_used_with_FREQ_to_calculate_depth,,,,,,,,,,,,
RECORDER_system_frequency,,FREQ,att,RECORDER,,0,0,float32,-999999,,,frequency_Hz_used_with_WAIT_to_calculate_depth,,,,,,,,,,,,
SOOP_line,,,var,,,0,1,int8,0,,,SOOP_line_information,,,,,,,,,,,,
SOOP_line_label,LineNo,TWI#,att,SOOP_line,,0,1,str,          ,,,SOOP_line_identifier,, ,, ,        ,,,,,,,
SOOP_line_description,,,att,SOOP_line,,0,1,str,          ,,,SOOP_line_description,,,, ,        ,,,,,,,
SOOP_transect_number,,,att,SOOP_line,,0,0,int8,0,,,SOOP_line_transect_repeat_number,,,,1,9999999,,,,,,,
SOOP_sequence_number,DropNo,,att,SOOP_line,,0,0,int8,0,,,SOOP_deployment_sequence_number,,,,1,9999999,,,,,,,
Ship,,,var,,,0,1,int8,0,,,Platform_vessel_information,,,,,,,,,,,,
Ship_name,Ship,SHP#,att,Ship,,0,1,str,          ,,,Deployment_vessel_name,, ,, ,        ,,,Ship_IMO Callsign Platform_code,,,,
Ship_IMO,IMO,,att,Ship,,0,1,str,          ,,,Deployment_vessel_IMO_number,, ,, ,        ,,,,,,,
Callsign,CallSign,GCLL;PLAT,att,Ship,,0,1,str,          ,,,Deployment_vessel_callsign,, ,, ,        ,,,,,,,
Platform_code,CallSign,,att,Ship,,0,0,str,,,,Deployment_vessel_platform_code,,,,,,,,,,,,
SOT_ID,SOTID,,att,Ship,,0,0,str,          ,,,Deployment_vessel_SOT_ID,, ,, ,        ,,,,,,,
WIGOS_ID,,,att,Ship,,0,0,str,,,,Deployment_vessel_WIGOS_ID,,,,,,,,,,,,
Cruise_ID,Voyage,Cruise_ID,att,Ship,,0,1,str,          ,,,cruise_identifier,,,, ,        ,,,,,,,
Height_launch_above_water_meters,DropHeight,HTL$,att,Ship,,0,1,float32,-999999,,,height_of_launch_above_water,,m,,-7000,9999999,sea surface,up,,,,,
Launcher_type,,,att,Ship,,0,1,str,,,,launcher_type,,,,,,,,,,,,
Input_filename,,,global,,,0,1,str,          ,,,input_filename,, ,, ,        ,,,,,,,
Institution,,Stream_Ident,global,,,1,1,str,          ,,,Institute_name_from_WMO_BUFR_table,, ,, ,        ,https://codes.wmo.int/bufr4/codeflag/0-01-036,,Institute_code,,,,
Institution_code,Agency,,global,,,0,1,int8,          ,,,Institute_code_from_WMO_BUFR_table,, ,, ,        ,https://codes.wmo.int/bufr4/codeflag/0-01-036,,,,,,
Cyclic_redundancy_code,CRC,CRC$,global,,,0,1,str,          ,,,cyclic_redundancy_code,,,, ,        ,,,,,,,
Predrop_comments,PreDropComments,Predrop_comments,global,,,0,0,str,          ,,,pre-drop_comments,,,, ,        ,,,,,,,
Postdrop_comments,PostDropComments,Postdrop_comments,global,,,0,0,str,          ,,,post-drop_comments,,,, ,        ,,,,,,,
TEMP_RECORDING_SYSTEM,procTemperature,,var,,DEPTH,1,0,float32,999999,TIME LATITUDE LONGITUDE DEPTH,sea_water_temperature,sea_water_temperature,,Celsius,,-2.5,40,,,TEMP_RECORDING_SYSTEM_quality_control,,,,
TEMP_RECORDING_SYSTEM_quality_control,sampleQC,,var,,DEPTH,1,0,int8,-9,,sea_water_temperature status_flag,sea_water_temperature quality_flag,,,,,,,,,"Data Quality Control Flags, Lindsay Pender, 2000,  https://www.marine.csiro.au/data/trawler/download.cfm?file_id=4716","-119, -86, -64, 0, 73, 79, 106",out_of_range spikes_bad no_qc_applied qc_applied_good_data suspect_data_out_of_climatology suspect_surface_data spike_filtered,
RESISTANCE,resistance,,var,,DEPTH,0,0,float32,999999,TIME LATITUDE LONGITUDE DEPTH,,PROBE_thermistor_resistance,,Ohms,, ,        ,,,,,,,
SAMPLE_TIME,sampleTime,,var,,DEPTH,0,0,float64,,TIME LATITUDE LONGITUDE DEPTH,time,RECORDER_sample_time,gregorian,,, ,        ,,,,,,,
HISTORY_INSTITUTION,,,var,,"N_HISTORY,str150",0,0,S1,,,,Institution_which_performed_qc_action,,,,,,,,,,,,
HISTORY_SOFTWARE,,,var,,"N_HISTORY,str150",0,0,S1,,,,Name_of_software_which_performed_qc_action,,,,,,,,,,,,
HISTORY_SOFTWARE_RELEASE,,,var,,"N_HISTORY,str20",0,0,S1,,,,Version_of_software_which_performed_qc_action,,,,,,,,,,,,
HISTORY_DATE,,,var,,N_HISTORY,0,0,float64,999999,,,Date_qc_history_record_created,gregorian,days since 1950-01-01 00:00:00 UTC,,0,90000,,,,,,,
HISTORY_PARAMETER,,,var,,"N_HISTORY,str20",0,0,S1,,,,Parameter_that_qc_action_applied_to,,,,,,,,,,,,
HISTORY_START_DEPTH,,,var,,N_HISTORY,0,0,float32,999999,,,Shallowest_depth_qc_action_applied_to,,m,,-5,12000,,,,,,,
HISTORY_QC_CODE,,,var,,"N_HISTORY,str3",0,0,S1,,,,QC_code_applied,,,,,,,,HISTORY_QC_CODE_VALUE,,,,
HISTORY_QC_CODE_DESCRIPTION,,,var,,"N_HISTORY,str60",0,0,S1,,,,QC_code_description,,,,,,,,,,,,
HISTORY_QC_CODE_VALUE,,,var,,N_HISTORY,0,0,int8,,,,QC_code_value,,,,,,,,,IMOS standard flags,0 1 2 3 4 5 6 7 8 9,No_QC_performed Good_data Probably_good_data Bad_data_that_are_potentially_correctable Bad_data Value_changed Not_used Not_used Not_used Missing_value,
